drug_kegg_id,target_ko_number
D07920,K08551
D01617,K08550
D00419,K04259
D08011,K02621
D01526,K00796
D07801,K05771
D08496,K02621
D02305,K02470
D04061,K08551
D07227,K04226
D08441,K04133
D00289,K08550
D08539,K00796
D00450,K00796
D03649,K05037
D10885,K04585
D00680,K04139
D00588,K02622
D02691,K05080
D08413,K05771
D00722,K04130
D07231,K00431
D00610,K04137
D03799,K08556
D07928,K08550
D00610,K04136
D00718,K18283
D02218,K18437
D00186,K02470
D06216,K05771
D01160,K22599
D00419,K04260
D00089,K04229
D09015,K04584
D09796,K05771
D06544,K04200
D02343,K04262
D01007,K04131
D08291,K02469
D00970,K00509
D10772,K02470
D01410,K00509
D00949,K08556
D10547,K25268
D04666,K04221
D08571,K04226
D00585,K08556
D00722,K04132
D02359,K04142
D01144,K02470
D04672,K08550
D03656,K22599
D01007,K04850
D02216,K02469
D08291,K02621
D00682,K04262
D00588,K02469
D07925,K11387
D07967,K08555
D08012,K02622
D01229,K05771
D04064,K08551
D02286,K05771
D01989,K08551
D06569,K04199
D01410,K11987
D02218,K18283
D08011,K02622
D08569,K04135
D05956,K00796
D01954,K00796
D07517,K00461
D09760,K11987
D08441,K04850
D07918,K08551
D05461,K02470
D00589,K02470
D11359,K04583
D01153,K02469
D01007,K04133
D00590,K02622
D12597,K11987
D03260,K13762
D00101,K04226
D01571,K04135
D03833,K22599
D08654,K02470
D10147,K04221
D11976,K04224
D02032,K05771
D07456,K08557
D07460,K04144
D00211,K03043
D00289,K08557
D00878,K11385
D00126,K00509
D01699,K04131
D08287,K02469
D08053,K08556
D01007,K04851
D08514,K13762
D11563,K04585
D00680,K04135
D07905,K04137
D07906,K04153
D06236,K13938
D02235,K04228
D00585,K05771
D01998,K05771
D02156,K05771
D08011,K02470
D08569,K04137
D05949,K00796
D05382,K02621
D08239,K04136
D11618,K02469
D03505,K04612
D00579,K18964
D02471,K02622
D03358,K04585
D07906,K04136
D01153,K02621
D02306,K02470
D11472,K24149
D08291,K02470
D02555,K05917
D05382,K02622
D07425,K13298
D04947,K08557
D00291,K03899
D10879,K02470
D00146,K04200
D03671,K05771
D02465,K00706
D00589,K02469
D00959,K08557
D08560,K04136
D07227,K04228
D01716,K02469
D07797,K05771
D02471,K02621
D02705,K04258
D10017,K00509
D08569,K04136
D00211,K03046
D00590,K02621
D02731,K13762
D00312,K08550
D00075,K08557
D10950,K00498
D01531,K02470
D07217,K04145
D08479,K03043
D11585,K04137
D00577,K08550
D08923,K04131
D07670,K08556
D12395,K04585
D00879,K03043
D03699,K08555
D09988,K04221
D01148,K04131
D08052,K08556
D00067,K08550
D08241,K04280
D00442,K04218
D00976,K05771
D08301,K08551
D07517,K11987
D07921,K08550
D07214,K08362
D00610,K04135
D00453,K02470
D00145,K13938
D00897,K22599
D00979,K05771
D02474,K02469
D08573,K08557
D07665,K04280
D07516,K00461
D08287,K02470
D00589,K02621
D08337,K13938
D00578,K05917
D01616,K08550
D00105,K08550
D11609,K04280
D00182,K08556
D07920,K08550
D03062,K08550
D06281,K04218
D01953,K08550
D00874,K02469
D02229,K13762
D07925,K11385
D00427,K22599
D04870,K05087
D08415,K05771
D06120,K04282
D11943,K24149
D00317,K18964
D04361,K04280
D00366,K04228
D08167,K08556
D04253,K00790
D01716,K02621
D00101,K04228
D00874,K02470
D01299,K08556
D00722,K04131
D02306,K02469
D08654,K02621
D00590,K02469
D02469,K02622
D00718,K18438
D02540,K02470
D00718,K13298
D00925,K00790
D02117,K04584
D06495,K04218
D00249,K04576
D11545,K00706
D01294,K08550
D05884,K05080
D08239,K04135
D07425,K18437
D00081,K04262
D00351,K05917
D07961,K13298
D07073,K05771
D02540,K02621
D01428,K04142
D08958,K08550
D08654,K02469
D07425,K18283
D07238,K13938
D00472,K05771
D00465,K04130
D07905,K04140
D11629,K04199
D03267,K04280
D08560,K04135
D11194,K05080
D07425,K18438
D01007,K04853
D01886,K05771
D07519,K00431
D00346,K11611
D00983,K05771
D07516,K00509
D08923,K04130
D01462,K04146
D10950,K00512
D12598,K11987
D11113,K05547
D02497,K22599
D05382,K02469
D07799,K05771
D00066,K08556
D07766,K08557
D05461,K02469
D09773,K11611
D08218,K00706
D04429,K04247
D08668,K13762
D01531,K02469
D00180,K04258
D05000,K05771
D11085,K13938
D00680,K04138
D08012,K02469
D02267,K18964
D10606,K08551
D07905,K04139
D07800,K05771
D08120,K02621
D08412,K05771
D06672,K04228
D00877,K01921
D07670,K08557
D00590,K02470
D10676,K04612
D11608,K04280
D02002,K11611
D02250,K04218
D07961,K18283
D07939,K08556
D10772,K02469
D07798,K05771
D07961,K13755
D02188,K00790
D06273,K04129
D01007,K04129
D09873,K02110
D08416,K05771
D08409,K08550
D09331,K02469
D08654,K02622
D02305,K02469
D00878,K11387
D01374,K08556
D09989,K13762
D01571,K04137
D10879,K02621
D00406,K18964
D10497,K04221
D07961,K13293
D04064,K08550
D00680,K04140
D00342,K18964
D08496,K02622
D01007,K04130
D02317,K02470
D03165,K04145
D08543,K00796
D00101,K04227
D12637,K22599
D07802,K05771
D07230,K05771
D00722,K04133
D00577,K08551
D08441,K04130
D00953,K08556
D01007,K04857
D00986,K08555
D00244,K05771
D00116,K04583
D07925,K11386
D10027,K13762
D00273,K18964
D05001,K05771
D07961,K18437
D01989,K08550
D02216,K02470
D01352,K04262
D07239,K00796
D02317,K02621
D08239,K04137
D00973,K05771
D04063,K08550
D09331,K02621
D07221,K08550
D10677,K04612
D00366,K04227
D07471,K22599
D10147,K04217
D07905,K04136
D00433,K00796
D01953,K08551
D01047,K00796
D00718,K19021
D00588,K02470
D07905,K04138
D08431,K08556
D06300,K18964
D02218,K13293
D01716,K02622
D00183,K02470
D02540,K02622
D00646,K04131
D08540,K00796
D06281,K04221
D08522,K04131
D11486,K05080
D10990,K05080
D08441,K04857
D02469,K02470
D04467,K05771
D00289,K08556
D08120,K02470
D01007,K04132
D01616,K08551
D00872,K02469
D01269,K04131
D08560,K04137
D07425,K13755
D01180,K00070
D01010,K08362
D10950,K00497
D03217,K13762
D02540,K02469
D11933,K02469
D04824,K04248
D03048,K19302
D01010,K05547
D08120,K02469
D06400,K04247
D00718,K18437
D10606,K08550
D00067,K08551
D03301,K05771
D07921,K08551
D08120,K02622
D09988,K04218
D08441,K04132
D08441,K04131
D02218,K18436
D00562,K17904
D07460,K04145
D00105,K08551
D02450,K00796
D00587,K00796
D08457,K04145
D09567,K08556
D00323,K00560
D08441,K04851
